iter	Passed	Remaining
0	0	68
1	1	62
2	1	58
3	2	53
4	2	52
5	3	51
6	3	50
7	4	49
8	4	49
9	5	49
10	6	49
11	6	48
12	7	48
13	7	47
14	8	46
15	8	46
16	9	45
17	9	44
18	10	44
19	10	43
20	11	43
21	11	42
22	12	41
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	21	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	40	14
73	40	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	8
84	47	8
85	48	7
86	49	7
87	50	6
88	50	6
89	51	5
90	52	5
91	52	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
