iter	Passed	Remaining
0	152	151930
1	153	76399
2	153	51116
3	154	38450
4	155	30892
5	155	25805
6	156	22178
7	156	19456
8	157	17338
9	158	15644
10	158	14263
11	159	13113
12	160	12161
13	161	11373
14	162	10646
15	162	10011
16	163	9451
17	164	8950
18	164	8503
19	165	8099
20	165	7735
21	166	7405
22	167	7101
23	167	6822
24	168	6564
25	168	6327
26	169	6107
27	170	5905
28	170	5718
29	171	5542
30	171	5375
31	172	5221
32	173	5085
33	174	4968
34	175	4842
35	176	4727
36	177	4619
37	178	4509
38	178	4404
39	179	4305
40	180	4210
41	180	4124
42	181	4036
43	181	3953
44	182	3874
45	183	3797
46	183	3722
47	184	3651
48	184	3587
49	185	3527
50	186	3474
51	187	3419
52	188	3362
53	188	3308
54	189	3255
55	190	3206
56	190	3157
57	191	3109
58	192	3063
59	192	3017
60	193	2974
61	193	2931
62	194	2890
63	194	2850
64	195	2811
65	196	2774
66	196	2738
67	197	2704
68	197	2671
69	198	2637
70	199	2604
71	199	2572
72	200	2545
73	201	2525
74	202	2499
75	203	2471
76	203	2445
77	204	2417
78	205	2390
79	205	2365
80	206	2339
81	206	2315
82	207	2288
83	207	2265
84	208	2243
85	208	2221
86	209	2198
87	210	2177
88	210	2156
89	211	2135
90	211	2115
91	212	2095
92	212	2076
93	213	2057
94	214	2039
95	214	2021
96	215	2006
97	216	1996
98	217	1980
99	218	1963
100	218	1947
101	219	1931
102	219	1915
103	220	1899
104	221	1884
105	221	1869
106	222	1854
107	222	1839
108	223	1825
109	223	1810
110	224	1796
111	224	1782
112	225	1769
113	225	1756
114	226	1743
115	227	1730
116	227	1716
117	228	1704
118	228	1692
119	229	1682
120	230	1676
121	231	1668
122	232	1660
123	233	1650
124	234	1640
125	234	1629
126	235	1618
127	236	1609
128	236	1599
129	237	1589
130	237	1578
131	238	1569
132	239	1559
133	239	1549
134	240	1539
135	240	1530
136	241	1520
137	241	1511
138	242	1502
139	243	1494
140	243	1486
141	244	1476
142	245	1468
143	245	1461
144	246	1456
145	248	1451
146	248	1443
147	249	1435
148	250	1427
149	250	1420
150	251	1412
151	251	1404
152	252	1396
153	252	1389
154	253	1382
155	254	1374
156	254	1367
157	255	1360
158	255	1353
159	256	1346
160	256	1338
161	257	1331
162	257	1324
163	258	1317
164	258	1310
165	259	1303
166	260	1298
167	261	1296
168	262	1291
169	263	1285
170	263	1279
171	264	1273
172	265	1267
173	265	1261
174	266	1256
175	267	1250
176	267	1244
177	268	1239
178	268	1233
179	269	1227
180	270	1221
181	270	1216
182	271	1210
183	271	1205
184	272	1199
185	272	1194
186	273	1188
187	274	1183
188	276	1187
189	277	1183
190	278	1178
191	278	1173
192	279	1168
193	279	1162
194	280	1157
195	280	1152
196	281	1147
197	282	1142
198	282	1137
199	283	1132
200	283	1127
201	284	1122
202	284	1117
203	285	1113
204	285	1108
205	286	1103
206	287	1099
207	287	1096
208	288	1091
209	289	1087
210	290	1085
211	291	1083
212	292	1079
213	292	1074
214	293	1070
215	293	1066
216	294	1062
217	295	1058
218	295	1054
219	296	1050
220	296	1046
221	297	1042
222	298	1038
223	298	1034
224	299	1032
225	300	1028
226	301	1025
227	301	1021
228	302	1017
229	302	1013
230	303	1010
231	304	1007
232	305	1005
233	306	1003
234	307	1001
235	308	997
236	308	994
237	309	990
238	310	987
239	310	983
240	311	980
241	311	976
242	312	974
243	313	971
244	314	968
245	314	965
246	315	961
247	316	958
248	316	955
249	317	951
250	317	948
251	318	945
252	319	943
253	320	942
254	321	939
255	322	936
256	323	934
257	323	931
258	324	928
